crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,1992400.8,5848.14,6045.886957,22.98,1701.15,73.03,60,18,38,5.8
Jute,1998,Kharif     ,Assam,78702.0,687173,7775757.6,22823.58,9.040869565,22.98,1701.15,73.03,60,18,38,5.8
Potato,1998,Whole Year ,Assam,76958.0,611077,7603450.4,22317.82,7.230434783,22.98,1701.15,73.03,60,18,38,5.8
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,3020414.8,8865.59,39.89304348,22.98,1701.15,73.03,60,18,38,5.8
Banana,1998,Whole Year ,Goa,1900.0,14400,187720.0,551.0,7.58,27.35,2059.15,74.64,65,25,45,6.2
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2455970.4,7208.82,4867.65,27.35,2059.15,74.64,65,25,45,6.2
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,130416.0,382.8,48.48,27.35,2059.15,74.64,65,25,45,6.2
Arecanut,1998,Whole Year ,Karnataka,98047.0,648365,9687043.6,28433.63,6.232,23.73,1185.08,71.65,72,42,25,6.9
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,30667421.2,90015.71,4692.261111,23.73,1185.08,71.65,72,42,25,6.9
Ginger,1998,Kharif     ,Karnataka,3896.0,51169,384924.8,1129.84,12.75944444,23.73,1185.08,71.65,72,42,25,6.9
Onion,1998,Kharif     ,Karnataka,79921.0,362053,7896194.8,23177.09,5.363636364,23.73,1185.08,71.65,72,42,25,6.9
Onion,1998,Rabi       ,Karnataka,8882.0,91057,877541.6,2575.78,8.936315789,23.73,1185.08,71.65,72,42,25,6.9
Onion,1998,Summer     ,Karnataka,4797.0,55339,473943.6,1391.13,11.86631579,23.73,1185.08,71.65,72,42,25,6.9
Peas & beans (Pulses),1998,Kharif     ,Karnataka,1730.0,15872,170924.0,501.7,9.265882353,23.73,1185.08,71.65,72,42,25,6.9
Peas & beans (Pulses),1998,Rabi       ,Karnataka,494.0,4882,48807.2,143.26,8.948181818,23.73,1185.08,71.65,72,42,25,6.9
Peas & beans (Pulses),1998,Summer     ,Karnataka,1583.0,13707,156400.4,459.07,7.827,23.73,1185.08,71.65,72,42,25,6.9
Potato,1998,Kharif     ,Karnataka,28755.0,317052,2840994.0,8338.95,12.37333333,23.73,1185.08,71.65,72,42,25,6.9
Potato,1998,Rabi       ,Karnataka,4173.0,82124,412292.4,1210.17,18.90714286,23.73,1185.08,71.65,72,42,25,6.9
Potato,1998,Summer     ,Karnataka,1137.0,19387,112335.6,329.73,17.6,23.73,1185.08,71.65,72,42,25,6.9
Potato,1998,Whole Year ,Karnataka,268.0,3910,26478.4,77.72,14.59,23.73,1185.08,71.65,72,42,25,6.9
Banana,1998,Whole Year ,Kerala,30521.0,386588,3015474.8,8851.09,12.85714286,27.03,2177.34,80.95,65,28,50,5.7
Coconut ,1998,Whole Year ,Kerala,882288.0,5132000000,87170054.4,255863.52,5304.749286,27.03,2177.34,80.95,65,28,50,5.7
Garlic,1998,Whole Year ,Kerala,742.0,12614,73309.6,215.18,17.0,27.03,2177.34,80.95,65,28,50,5.7
Sugarcane,1998,Whole Year ,Kerala,6160.0,472160,608608.0,1786.4,64.83,27.03,2177.34,80.95,65,28,50,5.7
Sweet potato,1998,Whole Year ,Kerala,1099.0,11924,108581.2,318.71,11.718,27.03,2177.34,80.95,65,28,50,5.7
Tapioca,1998,Whole Year ,Kerala,112774.0,2630155,11142071.2,32704.46,25.51785714,27.03,2177.34,80.95,65,28,50,5.7
Tobacco,1998,Whole Year ,Kerala,41.0,228,4050.8,11.89,5.56,27.03,2177.34,80.95,65,28,50,5.7
Banana,1998,Whole Year ,Meghalaya,5194.0,62888,513167.2,1506.26,11.26714286,17.84,2370.96,79.73,52,16,33,5.6
Ginger,1998,Kharif     ,Meghalaya,7403.0,45590,731416.4,2146.87,6.008571429,17.84,2370.96,79.73,52,16,33,5.6
Jute,1998,Kharif     ,Meghalaya,4241.0,27097,419010.8,1229.89,7.553333333,17.84,2370.96,79.73,52,16,33,5.6
Potato,1998,Whole Year ,Meghalaya,20753.0,201059,2050396.4,6018.37,7.738571429,17.84,2370.96,79.73,52,16,33,5.6
Tapioca,1998,Whole Year ,Meghalaya,3963.0,21251,391544.4,1149.27,6.547142857,17.84,2370.96,79.73,52,16,33,5.6
Turmeric,1998,Whole Year ,Meghalaya,1375.0,6997,135850.0,398.75,5.624285714,17.84,2370.96,79.73,52,16,33,5.6
Coconut ,1998,Whole Year ,West Bengal,24616.0,318174400,2432060.8,7138.64,12448.06222,25.82,1537.71,75.28,85,40,45,6.2
Jute,1998,Kharif     ,West Bengal,612066.0,7373630,60472120.8,177499.14,13.24705882,25.82,1537.71,75.28,85,40,45,6.2
Mesta,1998,Kharif     ,West Bengal,9911.0,81030,979206.8,2874.19,8.453846154,25.82,1537.71,75.28,85,40,45,6.2
Potato,1998,Whole Year ,West Bengal,318199.0,6689636,31438061.2,92277.71,18.95944444,25.82,1537.71,75.28,85,40,45,6.2
Sugarcane,1998,Whole Year ,West Bengal,26949.0,2001900,2662561.2,7815.21,75.314375,25.82,1537.71,75.28,85,40,45,6.2
Banana,1999,Whole Year ,Assam,41922.0,583383,4449181.86,11318.94,13.74652174,23.26,1622.42,71.99,60,18,38,5.8
Coconut ,1999,Whole Year ,Assam,20238.0,150062000,2147858.94,5464.26,5672.116522,23.26,1622.42,71.99,60,18,38,5.8
Jute,1999,Kharif     ,Assam,73545.0,657537,7805330.85,19857.15,9.13173913,23.26,1622.42,71.99,60,18,38,5.8
Potato,1999,Whole Year ,Assam,76748.0,699744,8145265.24,20721.96,8.062608696,23.26,1622.42,71.99,60,18,38,5.8
Sugarcane,1999,Whole Year ,Assam,29107.0,1154615,3089125.91,7858.89,40.43478261,23.26,1622.42,71.99,60,18,38,5.8
Banana,1999,Whole Year ,Goa,1950.0,14500,206953.5,526.5,7.44,27.09,1980.88,73.77,65,25,45,6.2
Coconut ,1999,Whole Year ,Goa,24975.0,121580000,2650596.75,6743.25,4868.07,27.09,1980.88,73.77,65,25,45,6.2
Sugarcane,1999,Whole Year ,Goa,1335.0,68440,141683.55,360.45,51.27,27.09,1980.88,73.77,65,25,45,6.2
Banana,1999,Whole Year ,Kerala,39046.0,398145,4143951.98,10542.42,10.36285714,26.23,1758.79,81.79,65,28,50,5.7
Coconut ,1999,Whole Year ,Kerala,925035.0,5680000000,98173964.55,249759.45,5581.025714,26.23,1758.79,81.79,65,28,50,5.7
Garlic,1999,Whole Year ,Kerala,849.0,14433,90104.37,229.23,17.0,26.23,1758.79,81.79,65,28,50,5.7
Sugarcane,1999,Whole Year ,Kerala,5780.0,578820,613431.4,1560.6,88.2225,26.23,1758.79,81.79,65,28,50,5.7
Sweet potato,1999,Whole Year ,Kerala,989.0,10698,104962.57,267.03,11.79636364,26.23,1758.79,81.79,65,28,50,5.7
Tapioca,1999,Whole Year ,Kerala,111922.0,2531752,11878281.86,30218.94,24.25785714,26.23,1758.79,81.79,65,28,50,5.7
Tobacco,1999,Whole Year ,Kerala,44.0,245,4669.72,11.88,5.57,26.23,1758.79,81.79,65,28,50,5.7
Banana,1999,Whole Year ,Meghalaya,5319.0,63383,564505.47,1436.13,11.16285714,18.37,2074.56,76.13,52,16,33,5.6
Ginger,1999,Kharif     ,Meghalaya,7606.0,44710,807224.78,2053.62,5.765714286,18.37,2074.56,76.13,52,16,33,5.6
Jute,1999,Kharif     ,Meghalaya,4235.0,31781,449460.55,1143.45,6.76,18.37,2074.56,76.13,52,16,33,5.6
Potato,1999,Whole Year ,Meghalaya,18339.0,143287,1946318.07,4951.53,6.858571429,18.37,2074.56,76.13,52,16,33,5.6
Tapioca,1999,Whole Year ,Meghalaya,4022.0,21497,426854.86,1085.94,6.39,18.37,2074.56,76.13,52,16,33,5.6
Turmeric,1999,Whole Year ,Meghalaya,1458.0,8196,154737.54,393.66,5.284285714,18.37,2074.56,76.13,52,16,33,5.6
Banana,1999,Whole Year ,Puducherry,282.0,8890,29928.66,76.14,29.25,27.74,923.63,75.11,88,55,40,7.0
Coconut ,1999,Whole Year ,Puducherry,2214.0,27816000,234971.82,597.78,12812.4475,27.74,923.63,75.11,88,55,40,7.0
Cotton(lint),1999,Kharif     ,Puducherry,357.0,1835,37888.41,96.39,5.14,27.74,923.63,75.11,88,55,40,7.0
Onion,1999,Whole Year ,Puducherry,14.0,183,1485.82,3.78,13.07,27.74,923.63,75.11,88,55,40,7.0
Rapeseed &Mustard,1999,Rabi       ,Puducherry,64.0,483,6792.32,17.28,6.023333333,27.74,923.63,75.11,88,55,40,7.0
Sugarcane,1999,Whole Year ,Puducherry,2798.0,237610,296951.74,755.46,83.0,27.74,923.63,75.11,88,55,40,7.0
Tapioca,1999,Whole Year ,Puducherry,365.0,10571,38737.45,98.55,18.29,27.74,923.63,75.11,88,55,40,7.0
Coconut ,1999,Whole Year ,West Bengal,24216.0,324305700,2570044.08,6538.32,13592.12778,25.79,1737.63,72.95,85,40,45,6.2
Jute,1999,Kharif     ,West Bengal,613923.0,7593680,65155647.99,165759.21,13.94058824,25.79,1737.63,72.95,85,40,45,6.2
Mesta,1999,Kharif     ,West Bengal,8864.0,81720,940736.32,2393.28,9.842142857,25.79,1737.63,72.95,85,40,45,6.2
Potato,1999,Summer     ,West Bengal,2478.0,33214,262990.14,669.06,13.4,25.79,1737.63,72.95,85,40,45,6.2
Potato,1999,Winter     ,West Bengal,313373.0,7449103,33258276.49,84610.71,20.56777778,25.79,1737.63,72.95,85,40,45,6.2
Sannhamp,1999,Autumn     ,West Bengal,1448.0,7810,153676.24,390.96,5.421666667,25.79,1737.63,72.95,85,40,45,6.2
Sugarcane,1999,Whole Year ,West Bengal,22883.0,1762806,2428572.79,6178.41,78.571875,25.79,1737.63,72.95,85,40,45,6.2
Banana,2000,Whole Year ,Andhra Pradesh,49051.0,819660,4815336.67,12753.26,17.63090909,27.74,1070.25,70.73,78,45,22,6.8
Coconut ,2000,Whole Year ,Andhra Pradesh,102646.0,1092707179,10076757.82,26687.96,9101.813684,27.74,1070.25,70.73,78,45,22,6.8
Mesta,2000,Kharif     ,Andhra Pradesh,77823.0,686947,7639883.91,20233.98,8.745384615,27.74,1070.25,70.73,78,45,22,6.8
Onion,2000,Kharif     ,Andhra Pradesh,17058.0,227873,1674583.86,4435.08,12.77315789,27.74,1070.25,70.73,78,45,22,6.8
Onion,2000,Rabi       ,Andhra Pradesh,13248.0,308617,1300556.16,3444.48,22.5085,27.74,1070.25,70.73,78,45,22,6.8
Potato,2000,Whole Year ,Andhra Pradesh,2489.0,14618,244345.13,647.14,6.14375,27.74,1070.25,70.73,78,45,22,6.8
Sugarcane,2000,Whole Year ,Andhra Pradesh,237150.0,17690131,23281015.5,61659.0,73.8955,27.74,1070.25,70.73,78,45,22,6.8
Sweet potato,2000,Whole Year ,Andhra Pradesh,1938.0,25467,190253.46,503.88,13.93277778,27.74,1070.25,70.73,78,45,22,6.8
Tapioca,2000,Whole Year ,Andhra Pradesh,21506.0,166124,2111244.02,5591.56,7.528,27.74,1070.25,70.73,78,45,22,6.8
Banana,2000,Whole Year ,Assam,42534.0,590095,4175562.78,11058.84,13.73217391,22.37,1958.5,75.29,60,18,38,5.8
Coconut ,2000,Whole Year ,Assam,20913.0,135910000,2053029.21,5437.38,5771.352609,22.37,1958.5,75.29,60,18,38,5.8
Jute,2000,Kharif     ,Assam,69513.0,668439,6824091.21,18073.38,9.794782609,22.37,1958.5,75.29,60,18,38,5.8
Potato,2000,Whole Year ,Assam,80504.0,668457,7903077.68,20931.04,7.459565217,22.37,1958.5,75.29,60,18,38,5.8
Sugarcane,2000,Whole Year ,Assam,26768.0,987696,2627814.56,6959.68,36.57217391,22.37,1958.5,75.29,60,18,38,5.8
Banana,2000,Whole Year ,Goa,2000.0,14745,196340.0,520.0,7.37,26.95,1919.04,74.29,65,25,45,6.2
Coconut ,2000,Whole Year ,Goa,25025.0,125120000,2456704.25,6506.5,4999.8,26.95,1919.04,74.29,65,25,45,6.2
Sugarcane,2000,Whole Year ,Goa,1250.0,72750,122712.5,325.0,58.2,26.95,1919.04,74.29,65,25,45,6.2
Banana,2000,Whole Year ,Karnataka,35335.0,649567,3468836.95,9187.1,18.36037037,23.21,1000.55,69.1,72,42,25,6.9
Coconut ,2000,Whole Year ,Karnataka,335996.0,1762403000,32984727.32,87358.96,4673.661111,23.21,1000.55,69.1,72,42,25,6.9
Ginger,2000,Kharif     ,Karnataka,10758.0,141587,1056112.86,2797.08,12.76823529,23.21,1000.55,69.1,72,42,25,6.9
Onion,2000,Whole Year ,Karnataka,120358.0,645357,11815544.86,31293.08,6.0164,23.21,1000.55,69.1,72,42,25,6.9
Potato,2000,Whole Year ,Karnataka,38298.0,452462,3759714.66,9957.48,11.70933333,23.21,1000.55,69.1,72,42,25,6.9
Sugarcane,2000,Whole Year ,Karnataka,417141.0,42923496,40950731.97,108456.66,98.80038462,23.21,1000.55,69.1,72,42,25,6.9
Sweet potato,2000,Whole Year ,Karnataka,3501.0,25771,343693.17,910.26,6.222142857,23.21,1000.55,69.1,72,42,25,6.9
Tapioca,2000,Whole Year ,Karnataka,1030.0,8018,101115.1,267.8,9.558571429,23.21,1000.55,69.1,72,42,25,6.9
Banana,2000,Whole Year ,Kerala,45059.0,327955,4423442.03,11715.34,7.457857143,26.7,1397.09,79.3,65,28,50,5.7
Coconut ,2000,Whole Year ,Kerala,925783.0,5536000000,90884117.11,240703.58,5617.002143,26.7,1397.09,79.3,65,28,50,5.7
Garlic,2000,Whole Year ,Kerala,538.0,9146,52815.46,139.88,17.0,26.7,1397.09,79.3,65,28,50,5.7
Sugarcane,2000,Whole Year ,Kerala,3367.0,275550,330538.39,875.42,90.19,26.7,1397.09,79.3,65,28,50,5.7
Sweet potato,2000,Whole Year ,Kerala,816.0,8963,80106.72,212.16,11.46615385,26.7,1397.09,79.3,65,28,50,5.7
Tapioca,2000,Whole Year ,Kerala,114609.0,2586903,11251165.53,29798.34,24.29642857,26.7,1397.09,79.3,65,28,50,5.7
Tobacco,2000,Whole Year ,Kerala,213.0,1186,20910.21,55.38,5.57,26.7,1397.09,79.3,65,28,50,5.7
Banana,2000,Whole Year ,Meghalaya,5377.0,64100,527860.09,1398.02,11.36285714,17.52,2652.89,79.14,52,16,33,5.6
Ginger,2000,Kharif     ,Meghalaya,7811.0,44900,766805.87,2030.86,5.897142857,17.52,2652.89,79.14,52,16,33,5.6
Jute,2000,Kharif     ,Meghalaya,4220.0,35816,414277.4,1097.2,7.133333333,17.52,2652.89,79.14,52,16,33,5.6
Potato,2000,Whole Year ,Meghalaya,18318.0,144292,1798278.06,4762.68,6.954285714,17.52,2652.89,79.14,52,16,33,5.6
Tapioca,2000,Whole Year ,Meghalaya,4110.0,21879,403478.7,1068.6,5.98,17.52,2652.89,79.14,52,16,33,5.6
Turmeric,2000,Whole Year ,Meghalaya,1523.0,8565,149512.91,395.98,5.464285714,17.52,2652.89,79.14,52,16,33,5.6
Banana,2000,Whole Year ,Puducherry,239.0,7532,23462.63,62.14,26.25,27.95,962.02,74.78,88,55,40,7.0
Coconut ,2000,Whole Year ,Puducherry,2233.0,24698000,219213.61,580.58,11937.4475,27.95,962.02,74.78,88,55,40,7.0
Cotton(lint),2000,Kharif     ,Puducherry,452.0,2300,44372.84,117.52,5.11,27.95,962.02,74.78,88,55,40,7.0
Onion,2000,Whole Year ,Puducherry,13.0,202,1276.21,3.38,15.54,27.95,962.02,74.78,88,55,40,7.0
Rapeseed &Mustard,2000,Rabi       ,Puducherry,63.0,452,6184.71,16.38,6.265,27.95,962.02,74.78,88,55,40,7.0
Sugarcane,2000,Whole Year ,Puducherry,2464.0,200413,241890.88,640.64,81.17,27.95,962.02,74.78,88,55,40,7.0
Tapioca,2000,Whole Year ,Puducherry,342.0,9685,33574.14,88.92,18.69,27.95,962.02,74.78,88,55,40,7.0
Coconut ,2000,Whole Year ,West Bengal,24511.0,330524800,2406244.87,6372.86,13234.92556,25.43,1422.94,74.38,85,40,45,6.2
Jute,2000,Kharif     ,West Bengal,612994.0,7428400,60177620.98,159378.44,13.52411765,25.43,1422.94,74.38,85,40,45,6.2
Mesta,2000,Kharif     ,West Bengal,10891.0,83630,1069169.47,2831.66,6.860833333,25.43,1422.94,74.38,85,40,45,6.2
Potato,2000,Whole Year ,West Bengal,299664.0,7673130,29418014.88,77912.64,22.39388889,25.43,1422.94,74.38,85,40,45,6.2
Sugarcane,2000,Whole Year ,West Bengal,21609.0,1465550,2121355.53,5618.34,67.08461538,25.43,1422.94,74.38,85,40,45,6.2
Banana,2001,Whole Year ,Andhra Pradesh,50507.0,761365,5158279.91,13131.82,11.73363636,28.08,910.13,68.69,78,45,22,6.8
Coconut ,2001,Whole Year ,Andhra Pradesh,104244.0,1124969850,10646439.72,27103.44,9057.671111,28.08,910.13,68.69,78,45,22,6.8
Maize,2001,Rabi       ,Andhra Pradesh,90752.0,470744,9268501.76,23595.52,5.592857143,28.08,910.13,68.69,78,45,22,6.8
Mesta,2001,Kharif     ,Andhra Pradesh,78942.0,671542,8062346.46,20524.92,8.370909091,28.08,910.13,68.69,78,45,22,6.8
Onion,2001,Kharif     ,Andhra Pradesh,17736.0,234978,1811377.68,4611.36,12.74411765,28.08,910.13,68.69,78,45,22,6.8
Onion,2001,Rabi       ,Andhra Pradesh,14089.0,324477,1438909.57,3663.14,21.08136364,28.08,910.13,68.69,78,45,22,6.8
Potato,2001,Whole Year ,Andhra Pradesh,2348.0,14653,239801.24,610.48,5.85,28.08,910.13,68.69,78,45,22,6.8
Sugarcane,2001,Whole Year ,Andhra Pradesh,218298.0,18081889,22294774.74,56757.48,84.989,28.08,910.13,68.69,78,45,22,6.8
Sweet potato,2001,Whole Year ,Andhra Pradesh,1945.0,25810,198642.85,505.7,14.05764706,28.08,910.13,68.69,78,45,22,6.8
Tapioca,2001,Whole Year ,Andhra Pradesh,17694.0,146361,1807088.22,4600.44,7.83,28.08,910.13,68.69,78,45,22,6.8
Banana,2001,Whole Year ,Assam,43600.0,606192,4452868.0,11336.0,13.77652174,22.72,1808.2,74.66,60,18,38,5.8
Coconut ,2001,Whole Year ,Assam,21067.0,163597000,2151572.71,5477.42,7700.721304,22.72,1808.2,74.66,60,18,38,5.8
Jute,2001,Kharif     ,Assam,68178.0,674603,6963019.14,17726.28,9.675652174,22.72,1808.2,74.66,60,18,38,5.8
Potato,2001,Whole Year ,Assam,80056.0,620571,8176119.28,20814.56,7.350869565,22.72,1808.2,74.66,60,18,38,5.8
Sugarcane,2001,Whole Year ,Assam,27166.0,1011398,2774463.58,7063.16,37.2173913,22.72,1808.2,74.66,60,18,38,5.8
Banana,2001,Whole Year ,Goa,2100.0,15482,214473.0,546.0,7.37,27.24,1335.38,72.83,65,25,45,6.2
Coconut ,2001,Whole Year ,Goa,25025.0,125120000,2555803.25,6506.5,4999.8,27.24,1335.38,72.83,65,25,45,6.2
Sugarcane,2001,Whole Year ,Goa,1205.0,70565,123066.65,313.3,58.56,27.24,1335.38,72.83,65,25,45,6.2
Coconut ,2001,Whole Year ,Karnataka,369828.0,1503638000,37770533.64,96155.28,4164.951481,23.37,919.93,69.6,72,42,25,6.9
Ginger,2001,Kharif     ,Karnataka,10677.0,140539,1090442.01,2776.02,12.86277778,23.37,919.93,69.6,72,42,25,6.9
Onion,2001,Whole Year ,Karnataka,125815.0,721033,12849485.95,32711.9,7.9108,23.37,919.93,69.6,72,42,25,6.9
Peas & beans (Pulses),2001,Whole Year ,Karnataka,6974.0,42197,712254.62,1813.24,6.209444444,23.37,919.93,69.6,72,42,25,6.9
Potato,2001,Whole Year ,Karnataka,39156.0,473407,3999002.28,10180.56,12.815,23.37,919.93,69.6,72,42,25,6.9
Sugarcane,2001,Whole Year ,Karnataka,406950.0,33016618,41561803.5,105807.0,84.00269231,23.37,919.93,69.6,72,42,25,6.9
Banana,2001,Whole Year ,Kerala,50871.0,375903,5195455.23,13226.46,7.347857143,26.63,2171.67,81.61,65,28,50,5.7
Coconut ,2001,Whole Year ,Kerala,905718.0,5479000000,92500979.34,235486.68,5636.355,26.63,2171.67,81.61,65,28,50,5.7
Garlic,2001,Whole Year ,Kerala,293.0,4981,29924.09,76.18,17.0,26.63,2171.67,81.61,65,28,50,5.7
Sugarcane,2001,Whole Year ,Kerala,3267.0,269780,333658.71,849.42,88.77583333,26.63,2171.67,81.61,65,28,50,5.7
Sweet potato,2001,Whole Year ,Kerala,747.0,8672,76291.11,194.22,11.49153846,26.63,2171.67,81.61,65,28,50,5.7
Tapioca,2001,Whole Year ,Kerala,111189.0,2455880,11355732.57,28909.14,23.09642857,26.63,2171.67,81.61,65,28,50,5.7
Tobacco,2001,Whole Year ,Kerala,71.0,395,7251.23,18.46,5.56,26.63,2171.67,81.61,65,28,50,5.7
Ginger,2001,Kharif     ,Meghalaya,8897.0,36590,908650.61,2313.22,5.837142857,17.85,2427.05,78.14,52,16,33,5.6
Jute,2001,Kharif     ,Meghalaya,4061.0,25057,414749.93,1055.86,6.236666667,17.85,2427.05,78.14,52,16,33,5.6
Potato,2001,Whole Year ,Meghalaya,18151.0,159032,1853761.63,4719.26,7.288571429,17.85,2427.05,78.14,52,16,33,5.6
Tapioca,2001,Whole Year ,Meghalaya,3971.0,20637,405558.23,1032.46,6.401428571,17.85,2427.05,78.14,52,16,33,5.6
Turmeric,2001,Whole Year ,Meghalaya,1523.0,8577,155543.99,395.98,5.511428571,17.85,2427.05,78.14,52,16,33,5.6
Banana,2001,Whole Year ,Puducherry,225.0,7461,22979.25,58.5,25.375,28.23,1021.13,74.02,88,55,40,7.0
Coconut ,2001,Whole Year ,Puducherry,2282.0,22204000,233060.66,593.32,9725.08,28.23,1021.13,74.02,88,55,40,7.0
Cotton(lint),2001,Kharif     ,Puducherry,575.0,2965,58724.75,149.5,5.23,28.23,1021.13,74.02,88,55,40,7.0
Onion,2001,Whole Year ,Puducherry,16.0,251,1634.08,4.16,15.69,28.23,1021.13,74.02,88,55,40,7.0
Rapeseed &Mustard,2001,Rabi       ,Puducherry,71.0,530,7251.23,18.46,6.345,28.23,1021.13,74.02,88,55,40,7.0
Sugarcane,2001,Whole Year ,Puducherry,2117.0,197412,216209.21,550.42,91.64,28.23,1021.13,74.02,88,55,40,7.0
Tapioca,2001,Whole Year ,Puducherry,464.0,15540,47388.32,120.64,21.5,28.23,1021.13,74.02,88,55,40,7.0
Coconut ,2001,Whole Year ,West Bengal,38404.0,331603800,3922200.52,9985.04,12368.60944,25.74,1600.02,73.31,85,40,45,6.2
Jute,2001,Kharif     ,West Bengal,651814.0,8836168,66569763.82,169471.64,15.42705882,25.74,1600.02,73.31,85,40,45,6.2
Mesta,2001,Kharif     ,West Bengal,10632.0,91297,1085846.16,2764.32,7.960833333,25.74,1600.02,73.31,85,40,45,6.2
Potato,2001,Whole Year ,West Bengal,299821.0,7822363,30620718.73,77953.46,21.95444444,25.74,1600.02,73.31,85,40,45,6.2
Sugarcane,2001,Whole Year ,West Bengal,19598.0,1513656,2001543.74,5095.48,79.67857143,25.74,1600.02,73.31,85,40,45,6.2
Banana,2002,Whole Year ,Andhra Pradesh,39354.0,1027659,3725643.18,9838.5,26.83952381,28.54,768.22,66.52,78,45,22,6.8
Coconut ,2002,Whole Year ,Andhra Pradesh,105291.0,1158625735,9967898.97,26322.75,9202.625556,28.54,768.22,66.52,78,45,22,6.8
Maize,2002,Rabi       ,Andhra Pradesh,111990.0,573695,10602093.3,27997.5,5.602272727,28.54,768.22,66.52,78,45,22,6.8
Mesta,2002,Kharif     ,Andhra Pradesh,81169.0,613607,7684269.23,20292.25,7.506363636,28.54,768.22,66.52,78,45,22,6.8
Onion,2002,Kharif     ,Andhra Pradesh,15403.0,171950,1458202.01,3850.75,10.49411765,28.54,768.22,66.52,78,45,22,6.8
Onion,2002,Rabi       ,Andhra Pradesh,11725.0,240657,1110005.75,2931.25,19.15952381,28.54,768.22,66.52,78,45,22,6.8
Potato,2002,Whole Year ,Andhra Pradesh,2672.0,18677,252958.24,668.0,6.946666667,28.54,768.22,66.52,78,45,22,6.8
Sugarcane,2002,Whole Year ,Andhra Pradesh,232471.0,15387218,22008029.57,58117.75,69.35666667,28.54,768.22,66.52,78,45,22,6.8
Sweet potato,2002,Whole Year ,Andhra Pradesh,1286.0,13380,121745.62,321.5,11.29588235,28.54,768.22,66.52,78,45,22,6.8
Banana,2002,Whole Year ,Assam,42631.0,589595,4035876.77,10657.75,13.77652174,22.58,1852.95,76.52,60,18,38,5.8
